Var1	Freq
neurodegenerative diseases	6
neurologic defaults	6
neurosyphilis	6
osteoporosis	6
permitted medications	6
pet scan	6
pick's disease	6
reminyl	6
renal disease	6
risk	6
sedatives	6
surgically sterilized	6
venlafaxine	6
12 -lead ecg	5
12 -lead electrocardiogram ( ecg )	5
adverse reaction	5
alcohol abuse	5
alcohol or drug abuse	5
allergic	5
anaemia	5
arrhythmias	5
barbiturates	5
bilirubin	5
brain damage	5
brain disease	5
carbamazepine	5
causes of dementia	5
cochlear implants	5
cognitive deficit	5
cognitive function	5
cognitively normal	5
conditions	5
coumadin	5
diameter	5
doses	5
dsm iv - tr	5
dsm iv criteria	5
ear implants	5
gds	5
infarct	5
insulin	5
investigational medication	5
laboratory abnormality	5
lewy body dementia	5
life expectancy	5
medical or psychiatric condition	5
memory problems	5
metal fragments	5
mini-mental state examination score	5
modified hachinski score	5
narcotic analgesics	5
narcotics	5
neuroimaging	5
psychoactive medications	5
psychotic disorder	5
psychotic features	5
radioactive agents	5
schizoaffective disorder	5
serum creatinine	5
suicidal ideation	5
suicide risk	5
tia	5
total bilirubin	5
transient ischemic attack	5
trazodone	5
tricyclic antidepressants	5
urinalysis	5
absorption	4
acheis	4
amantadine	4
anticoagulants	4
antipsychotic	4
antipsychotic medication	4
anxiety	4
anxiety disorder	4
atrial fibrillation	4
b12	4
behavioral disturbances	4
behavioral problems	4
bipolar affective disorder	4
body weight	4
brain mri	4
bupropion	4
cardiac pacemaker	4
centrally active beta-blockers	4
cervical carcinoma in situ	4
clinical dementia rating scale	4
cns disorder	4
cognitive deficits	4
convulsions	4
csf	4
demented	4
depressive disorder	4
dexa measure	4
dietary supplements	4
dosing	4
drug allergies	4
drug allergy	4
dsm-iv-tr	4
exendin- 4	4
focal brain lesion	4
foreign objects	4
gingko biloba	4
ginkgo biloba	4
good health	4
hb	4
health	4
heart rate	4
hepatitis b	4
hepatitis c	4
hydrocephalus	4
hypoxia	4
intervention	4
intolerance	4
investigational agents	4
lacunar infarct	4
left bundle branch block	4
male	4
mania	4
memory function score	4
metal	4
mild cognitive impairment ( mci )	4
mood disorder	4
multiple lacunes	4
namenda	4
neurological disorders	4
non-childbearing potential	4
parkinson disease	4
presence	4
psychotic disorders	4
pulmonary disease	4
selegiline	4
smoke	4
smoking	4
syphilis	4
systemic disease	4
tms	4
total body weight	4
total radiation dose exposure	4
urine drug screen	4
vision and hearing	4
vitamin deficiency	4
wechsler memory scale	4
weight	4
acetylcholinesterase inhibitor	3
ad dementia	3
addiction	3
alzheimer s disease	3
alzheimers disease	3
amci	3
amnestic mci	3
antipsychotic treatment	3
apathy	3
arrhythmia	3
beta-blockers	3
bleeding disorder	3
brain lesion	3
brain scan	3
brain trauma	3
breast cancer	3
breast-feeding	3
bundle branch block	3
cdr score	3
child-bearing potential	3
cholinergic or anticholinergic side effects	3
cirrhosis	3
citalopram	3
clinical dementia rating score	3
cns infection	3
cognex	3
cognitive deterioration	3
cognitive dysfunction	3
cognitively	3
computed tomography	3
contra-indication	3
contra-indications	3
cortical stroke	3
craniotomy	3
cromolyn	3
ct scan	3
dbp	3
death	3
decompensated congestive heart failure	3
depressive episode	3
distribution	3
dosage	3
drug dependence	3
dsm-iv tr criteria	3
ecg abnormalities	3
endocrine disease	3
estrogen	3
excipients	3
expected survival	3
fazekas score	3
female	3
gastro-intestinal, hepatic or renal disease	3
gastrointestinal bleeding	3
gastrointestinal disorder	3
grapefruit	3
haematology	3
hemorrhage	3
hepatic insufficiency	3
hepatobiliary disease	3
high blood pressure	3
hypodensity	3
ibuprofen	3
illicit drugs	3
immunoglobulin treatment	3
impairment	3
implantable cardioverter defibrillator	3
implants	3
intracranial pressure	3
investigational device	3
laboratory	3
liver function tests	3
lorazepam	3
lumbar puncture ( lp )	3
major surgery	3
malignant disease	3
mao inhibitors	3
medical disease	3
medications with significant cholinergic or anticholinergic effects	3
memory complaint	3
menopause	3
mental illness	3
methylphenidate	3
mini mental state examination ( mmse )	3
mini-mental state exam	3
mini-mental state examination	3
mitral or aortic valvular disease	3
moca score	3
modified hachinski ischemic score	3
modified ischemic score	3
mri scans	3
near syncope	3
neoplastic disease	3
neurological examination	3
neurological or psychiatric illness	3
nincds criteria	3
nursing	3
of childbearing potential	3
opioids	3
osteoporosis/osteopenia	3
paracetamol	3
parkinsonism	3
pathology	3
peptic ulcer	3
peptic ulcer disease	3
percutaneous coronary intervention	3
periventricular hyperintensities	3
pet scanning	3
platelet count	3
pregnancy testing	3
primary progressive aphasia	3
procedures	3
prodromal ad	3
psychoactive drugs	3
psychostimulants	3
psychotropic drugs	3
psychotropic medications	3
razadyne	3
renal impairment	3
renal insufficiency	3
risk factors	3
rivastigmine transdermal system	3
rosen modified hachinski score	3
sbp	3
scopolamine	3
secondary dementia	3
serology	3
sleep disturbance	3
smoker	3
subjective memory concern	3
substances	3
syphilis serology	3
t-score	3
thrombosis	3
thyroid abnormalities	3
thyroid dysfunction	3
tias	3
tobacco	3
tsh	3
tumor	3
urine pregnancy test	3
vaccine	3
visual acuity	3
visual or hearing impairment	3
vital sign measurements	3
vitamin b12	3
vitamin b12 or folate deficiency	3
12-lead ecg	2
abuse	2
abuse or dependence on alcohol or other substances	2
acquired immune deficiency syndrome	2
adjustment disorder	2
adl	2
adverse events	2
age-related macular degeneration	2
agents	2
alanine aminotransferase	2
alcohol breath test	2
alcohol or other substance abuse	2
alcohol/drug abuse	2
aldomet	2
alkaline phosphatase	2
alkaline phosphatase values	2
allergic conditions	2
allopurinol	2
alterations in mental status	2
alzheimer	2
alzheimer's dementia	2
alzheimer's diseas	2
amyloid deposition	2
amyloid imaging with florbetapir f 18	2
amyloid targeting agent	2
analgesics	2
anaphylaxis	2
anemia	2
angiography plus stenting	2
anti-amyloid immunotherapy	2
anti-depressants	2
anticoagulation	2
anticoagulation therapy	2
antidementia drugs	2
antihistamines	2
anxiolytic	2
aphasia	2
arterial hypertension	2
arthritis	2
aspartate aminotransferase	2
aspartate aminotransferase ( ast )	2
atomoxetine	2
atrial or ventricular fibrillation	2
atypical antipsychotics	2
autoimmune disease	2
axis i diagnosis	2
axis i disorder	2
back pain	2
back surgery	2
baseline ekg	2
beta-blocking agents	2
biomarker	2
biomarker studies	2
bleeding disorders	2
blindness	2
blood chemistry	2
blood donation	2
blood tests	2
bone fracture	2
bone marrow transplant	2
bradycardia	2
brain cancer	2
brain disorder	2
brain imaging study	2
brain infection	2
brain infections	2
brain injury	2
brain tumors	2
breast feeding	2
brief cognitive screener	2
bromocriptine	2
buprenorphine transdermal patch	2
c-ssrs	2
caffeinated drinks	2
caffeine	2
cardiac arrest	2
cardiac arrhythmia	2
cardiac arrhythmias	2
cardiac pacemakers	2
cardiopulmonary resuscitation	2
cardiovascular event	2
cardiovascular, hepatic or renal disease	2
carotid bruits	2
cause of dementia	2
central nervous disease	2
central nervous system ( cns ) disorder	2
central nervous system ( cns ) medications	2
central nervous system infection	2
centrally acting antihypertensive agents	2
cerebral hypoxia	2
cerebral injuries	2
cerebral microhemorrhages	2
cerebral neoplasia	2
cerebral trauma	2
cerebrovascular event	2
chemotherapy	2
chest x-ray	2
chf	2
child bearing potential	2
child-pugh class b/c	2
cholinergic side effects	2
cl	2
claudication	2
claustrophobic	2
clinical dementia rating ( cdr ) score	2
clinical dementia rating ( cdr ) total score	2
clinical dementia rating (cdr)	2
clinical depression	2
clinical evaluation	2
clinical laboratory values	2
clinical stroke	2
clozapine	2
co-morbidities	2
cocaine	2
cognitive disorders	2
cognitive performance	2
cognitively normal ( cn )	2
comatose state	2
complete physical examination	2
conduction defects	2
conduction disturbance	2
congenital heart disease	2
congenital long qt syndrome	2
congestive heart failure ( chf )	2
copd	2
cornell scale	2
coronary revascularization	2
cortical infarct	2
corticobasal degeneration	2
corticosteroids	2
cranberry	2
craniectomy	2
creatinine	2
creutzfeldt-jacob disease	2
csdd	2
csf examination	2
cushing's syndrome	2
cutaneous squamous cell carcinoma in situ	2
cva	2
dabigatran	2
danazol	2
deafness	2
deficits	2
dementia of the alzheimer type	2
dementia with psychotic features	2
dementing / neurodegenerative disease	2
depressed	2
devices	2
dextroamphetamine	2
diagnostic and statistical manual of mental disorders ( dsm-iv )	2
diagnostic and statistical manual of mental disorders, fourth edition ( dsm-iv )	2
diffuse lewy body dementia	2
disability	2
disorders	2
donated blood	2
drug or alcohol abuse or dependence	2
drug or alcohol abuse/dependence	2
drug, alcohol or medicine abuse	2
drugs of abuse	2
dsm iv	2
dsm v criteria	2
dsm-iv categories	2
dsm-iv-tr criteria	2
duloxetine	2
edema	2
ekg	2
electrocardiogram	2
electrocardiograph ( ecg )	2
electroshock therapy	2
endocrine or metabolic disease	2
epileptiform features	2
euthyroid	2
exotic citrus fruits	2
experimental drug	2
experimental medication	2
eye disease	2
familial autosomal dominant ad	2
fast score	2
fdg pet scan	2
febrile convulsions	2
febrile seizure	2
febrile seizures	2
fits	2
flurbiprofen	2
focal signs	2
folic acid deficiency	2
formulation	2
fronto-temporal dementia	2
frontotemporal	2
full physical examination	2
gastrectomy	2
gastrointestinal surgery	2
gastrointestinal, cardiovascular, hepatic, renal, hematological, neoplastic, endocrine, neurological, immunodeficiency, pulmonary or other disorder or disease	2
general cognitive function	2
geriatric depression scale ( 30 -point scale ) score	2
geriatric depression scales ( gds )	2
gfr	2
gleason grade	2
global deterioration scale ( gds )	2
goserelin	2
hachinski ischemia scale score	2
hachinski ischemic score	2
haemoglobin	2
hamd	2
hamd score	2
hamilton depression rating scale score	2
hamilton depression scale score	2
head trauma with loss of consciousness	2
heart failure	2
hematological, renal, endocrine, pulmonary, gastrointestinal, cardiovascular, hepatic, psychiatric, neurologic or allergic disease	2
hematology	2
hemispheric stroke	2
hemoglobin	2
hepatitis b or c	2
hepatitis b or c or cirrhosis	2
hepatitis b surface antigen	2
hepatitis c antibody	2
herbal	2
heroin	2
hoehn & yahr stage	2
homocysteine	2
human blood product	2
human immunodeficiency virus ( hiv )	2
human immunodeficiency virus ( hiv ) infection	2
huntington disease	2
huntington's chorea	2
hypnotic	2
hypoglycemia	2
hypotension	2
hypoxic cerebral damage	2
hypoxic damage	2
hysterectomy	2
icd - 10	2
immunosuppressants	2
immunosuppression	2
immunosuppressive drugs	2
impaired liver or kidney function	2
in situ prostate cancer	2
indomethacin	2
infectious or inflammatory/demyelinating cns conditions	2
inflammatory disease	2
injuries	2
injury	2
international classification of diseases ( icd ) - 10	2
intolerability	2
intra-ocular pressure	2
intravenous immunoglobulin	2
invasive medical device	2
investigational new drug	2
investigational pharmaceutical product	2
investigational treatment	2
iodine	2
ischemia	2
ketoconazole	2
kidney dialysis	2
korean version mini-mental state examination scores	2
laboratory evaluations	2
laboratory test results	2
laboratory value	2
laboratory values	2
lactose intolerance	2
lacunar infarcts	2
language difficulties	2
learning disability	2
lesions	2
leukoaraiosis	2
lewy body	2
lithium treatment	2
liver function test	2
liver impairment	2
local anesthetics	2
localized prostate cancer	2
lower back pain	2
lung disease	2
madrs score	2
magnetic resonance imaging ( mri )	2
major psychiatric disorder	2
medical condition/circumstances	2
medical disease/disorder	2
medical disorder	2
medical illnesses	2
melanoma	2
memory	2
memory concern	2
memory dysfunction	2
menstrual period	2
mental disorder	2
metastases	2
methemoglobinemia	2
methyldopa	2
methylmalonic acid	2
mi	2
microhemorrhages	2
migraines	2
mineral supplements	2
minerals	2
mini mental state examination	2
mini mental state examination (mmse) score	2
mini-mental state examination (mmse) score	2
mini-mental status exam score	2
mini-mental status examination ( mmse ) score	2
mmse scores	2
mmse total score	2
modafinil	2
modified hachinski ischemia scale	2
modified hachinski ischemia scale score	2
modified hachinski ischemic scale score	2
montreal cognitive assessment ( moca ) score	2
mood stabilizers	2
mri brain imaging	2
mri scanning	2
ms	2
multi-vitamins	2
myelosuppression	2
national institute of neurological and communicative disorders and stroke/alzheimer's disease and related disorders association ( nincds/adrda ) criteria	2
national institute of neurological disorders-alzheimer's disease and related disorders association ( ninds-adrda ) criteria	2
nerve syphilis	2
neurodegenerative disorder	2
neurologic deficits	2
neurologic disorders	2
neurological exam	2
neurological or psychiatric condition	2
neurological or psychiatric conditions	2
neurological-, cardiovascular-, gastrointestinal- or genitourinary disorders	2
neuropsychiatric inventory ( npi )	2
neuropsychologic disturbances	2
neutropenia	2
new york heart association criteria	2
nia-aa criteria	2
nicotine	2
nicotine or caffeine use	2
nicotine-containing products	2
non q-wave myocardial infarction	2
non-ad dementia	2
non-alzheimer dementia	2
non-child bearing potential	2
non-compliance	2
non-metastatic skin cancers	2
non-pregnant	2
non-prescribed drugs of abuse	2
nonchildbearing potential	2
nonhormonal contraception	2
nonsteroidal anti-inflammatory drugs	2
nonsteroidal medication	2
npi subscale	2
nyha	2
obstructive pulmonary disease	2
of vascular origin	2
omeprazole	2
oophorectomy	2
organ failure	2
organic disease	2
orthostatic hypotension	2
oxazepam	2
panic disorder	2
pdd	2
pergolide	2
peripheral oedema	2
phenobarbital	2
phenothiazines	2
phenytoin	2
phlebotomy	2
physical conditions	2
physical exam	2
physical illness	2
physical illnesses	2
physical problems	2
physical- or neurological examination	2
platelet counts	2
pomegranate	2
pomelos	2
positron emission tomography ( pet )	2
pre-study psychological assessment	2
prescription medication	2
prescription or nonprescription drugs	2
prodromal dementia	2
prostheses	2
proton pump inhibitors	2
psychiatric condition	2
psychiatric conditions	2
psychiatric or neurological disorder	2
psychiatric or neurological disorders	2
psychoactive, recreational or prescription drug	2
psychometric testing	2
psychotic symptoms	2
pulse rate measurement	2
pyridostigmine	2
q-wave myocardial infarction	2
qtc prolongation	2
quinidine	2
radiopharmaceutical imaging	2
radiopharmaceutical imaging or treatment	2
recreational drug	2
renal function tests	2
reproductive potential	2
residual neurological deficits	2
retinoids	2
rheumatoid arthritis	2
rifampin	2
risperidone	2
scanning	2
scoliosis	2
screening laboratory tests	2
seasonal allergies	2
secretase inhibitor	2
selective serotonin reuptake inhibitors	2
sensitivity	2
sensory deficit	2
sensory impairment	2
serum glucose	2
serum gonadotropin ( gn ) concentrations	2
serum levels of thyroid stimulating hormone ( tsh )	2
serum vitamin b12	2
seville oranges	2
shock	2
simple phobias	2
sinemet	2
size	2
sleep disorder	2
ssri	2
st. john's wort	2
standard laboratory tests	2
star fruit	2
statins	2
sterilized	2
stimulant	2
strokes	2
structural abnormalities	2
structural abnormality	2
study drugs	2
study medication	2
subcortical disease	2
subcortical lacunar infarcts	2
subjective memory complaints	2
substance abuse/dependence	2
substantial memory complaints	2
sudden death	2
suicidal behavior	2
suicide attempt	2
sulindac sulfide	2
supine heart rate	2
supplements	2
supranuclear palsy	2
surgery involving metal implants	2
surgical clips	2
symptomatic cardiovascular disease	2
symptomatic orthostatic hypotension	2
systemic steroids	2
systolic	2
tfts	2
therapy	2
thrombocytopenia	2
thyroid	2
thyroid replacement therapy	2
thyroid stimulating hormone	2
thyroid tests	2
thyroid, parathyroid or pituitary disease	2
tms treatment	2
tobacco- or nicotine-containing products	2
total bilirubin values	2
treatment procedure	2
tricyclics	2
tropicamide	2
unipolar and bipolar disorders	2
urine drug test	2
urine or blood pregnancy test	2
urine or serum pregnancy test	2
uti	2
vascular	2
vascular disease	2
vascular disorders	2
vascular surgery	2
ventricular fibrillation	2
ventricular tachycardia	2
viral hepatitis	2
viral infection	2
vision	2
visual and auditory abilities	2
vitamin	2
vitamin b12 level	2
washout	2
wbc	2
weight loss	2
-glutamyl transferase	1
-gt	1
-secretase or  -secretase inhibitor	1
"conventional" antipsychotic	1
"epileptiform" baseline eeg	1
"mixed" dementia	1
[18f]flutemetamol	1
11c pib-pet imaging	1
12 -lead ekg	1
12 lead ecg	1
12-lead electrocardiogram	1
15 wlt	1
1st degree heart block	1
2nd or 3rd degree heart block	1
3aps	1
3ms-r	1
3t mri	1
60 item naming section of the boston diagnostic aphasia	1
95% ci	1
aami	1
abdominal surgery	1
abdominal, cranial or neck radiotherapy	1
aberrant motor behavior	1
abnormal findings	1
abnormal thyroid function	1
abnormalities in b12 or tfts	1
aboratory finding	1
abpm	1
abpm measurement	1
abscess	1
absolute neutrophil count	1
absolute neutrophil count (anc)	1
absolute neutrophils count	1
absorptiometry	1
absorption distribution	1
abuse of alcohol	1
abuse of alcohol and drugs	1
abuse of alcohol, medication or drugs	1
abuse of drugs or alcohol	1
abuse of other substances	1
ace score	1
acethylcholinesterae inhibitor	1
acetylcholine esterase inhibitors	1
acetylcholinesterase inhibitor ( achei )	1
acetylsalicylic acid	1
achalasia	1
ache inhibitor	1
ache inhibitors	1
ache inhibitors+/-memantine	1
acitretin	1
acquired immune deficiency syndrome ( aids )	1
actigraphy recording	1
active peptic ulcer	1
acute coronary syndrome	1
ad (alzheimer's disease)	1
ad immunization study	1
ad immunotherapy	1
ad medication(s)	1
ad pathology	1
ad treatments	1
ad vaccine study	1
adas-cog	1
adderall	1
additional diseases	1
additives of sunphenon egcg	1
adni-go	1
adni1	1
adult asthma	1
adverse effects	1
adverse reactions	1
adverse renal effects	1
advil	1
af	1
age associated memory impairment	1
age of cognitive symptom onset	1
age of onset	1
age-associated memory impairment	1
age-related disorders	1
age-related white matter changes (arwmc) scale	1
agent	1
agitation symptoms	1
agitation/aggression item of the npi-nh	1
agitation/aggression subscale	1
aids or hiv infection	1
aids related complications	1
akinesia	1
alanine aminotranferase ( alt )	1
alanine aminotransferase ( alt )	1
alanine aminotransferase (alt)	1
alanine transaminase ( alt )	1
albinism	1
alcohol abuse or dependence	1
alcohol and/or drug abuse	1
alcohol and/or substance abuse or dependence	1
alcohol or drug abuse or dependence	1
alcohol or drug abuse/dependence	1
alcohol or drugs abuse	1
alcohol or other drug dependence	1
alcohol or other substance dependence	1
alcohol or substance abuse/dependence	1
alcohol or substance dependence	1
alcohol, cotinine or drugs of abuse	1
alcohol/substance abuse	1
alcoholism or drug addiction	1
alkaline phosphatase ( ap )	1
alkaline phosphates	1
alleges	1
allergic reaction	1
allergies	1
allergy or adverse reaction	1
allergy/intolerance	1
alp	1
alpha- 1 blockers	1
alterations of mental status	1
altered cerebral metabolism	1
altered consciousness	1
alternagel	1
alu-tab	1
alzheimer's disease and related disorders association ( adrda )	1
alzheimer's disease and related disorders association (adrda)	1
alzheimer's disease assessment scale - japan cognitive subscale ( adas-j cog ) score	1
alzheimer's disease assessment scale cognitive subscale (adas-cog) score	1
alzheimer's disease therapy	1
alzheimer's disease/dementia	1
alzheimer's early-stage, sporadic-type	1
alzheimer's therapy	1
alzheimer's-like dementia	1
alzheimers disease (ad)	1
alzheimers disease therapies	1
amantadin	1
amentia	1
american heart association-american stroke association ( aha-asa ) criteria	1
amitryptiline	1
amnestic mild cognitive impairment	1
amnestic mild cognitive impairment ( amci )	1
amnestic or multi-domain mci	1
amnestic or non-amnestic mild cognitive impairment	1
amphetamine mixed salts	1
amphetamine product	1
amphetamines	1
amphojel	1
amyloid (a)-beta	1
amyloid imaging	1
amyloid imaging scan	1
amyloid imaging with florbetapir	1
amyloid pet	1
amyloid pet status	1
amyloid targeting therapy	1
amyotrophic lateral sclerosis	1
anaesthesia	1
anaphylactic reaction	1
anesthesia	1
aneurysm	1
angina at rest	1
angina pectoris	1
antacids	1
anti-amyloid mabs	1
anti-amyloid monoclonal antibodies [mabs]	1
anti-angina medication	1
anti-arrhythmic agent	1
anti-asthmatic medication ( s )	1
anti-cd20 therapy	1
anti-coagulant agent	1
anti-coagulant therapy	1
anti-dementia drugs	1
anti-dementiva	1
anti-depressant	1
anti-depressant medications	1
anti-epileptic medications	1
anti-epileptics	1
anti-il-1	1
anti-platelet agent	1
anti-platelet medications	1
anti-platelet or anticoagulant therapy	1
anti-psychotic drugs	1
anti-psychotic medications	1
anti-psychotics	1
anti-tnf	1
anti-ulcer antacids	1
anticholinergic drugs	1
anticholinergic effects	1
anticholinergic medication	1
anticholinesterase drugs	1
anticholinesterasic treatments	1
anticoagulant therapy	1
antidepressant medication	1
antidepressant medications	1
antidepressive treatment	1
antidepressives	1
antiepileptic drug (aed)	1
antihypertensive medication	1
antihypertensive therapy	1
antihypertensives	1
antimalarial agents	1
antimicrobial therapy	1
antimycotics of the azol-type	1
antiparkinsonian agents	1
antiphospholipid syndrome	1
antiplatelet drugs	1
antiplatelets	1
antipsychotic drugs	1
antipsychotic medications	1
antipsychotics medications	1
antipsychotics/neuroleptics	1
anxiety disorders	1
anxiety/insomnia	1
aortic and mitral stenosis	1
aortic aneurysm	1
apathy evaluation scale ( aes ) score	1
apathy scale	1
apoe 4 allele	1
apolipoprotein e	1
appetite depressants	1
approved ad medications	1
approved medication	1
approved treatments	1
arachnoid cyst	1
arrhythmia tendency	1
arteriosclerosis	1
asa	1
asat/alat	1
aspartate aminotransferase (ast)	1
aspartate transaminase ( ast )	1
aspirin containing products	1
assessments	1
associated cognitive symptoms	1
asymptomatic, seasonal allergies	1
asymptomatice bifascicular block	1
at iii deficiency	1
atherosclerosis	1
atopic dermatitis	1
atorvastatin	1
atrial ectopic beats	1
atrial fibrillation of unstable angina	1
atrio-ventricular [av] block	1
atrio-ventricular [av] block second degree or higher	1
atrio-ventricular block	1
atrophy	1
attention deficit disorder	1
atypical ad	1
atypical dementia	1
auditory and/or visual impairment	1
auditory deficits	1
autoimmune	1
autoimmune or neuro-immunologic disorder	1
autoimmune or neuroimmunologic disorder	1
axis 1 psychiatric disorders	1
axis i psychiatric diagnoses	1
axis i psychiatric disorder	1
b cell absolute counts	1
b surface antigen	1
b12 or folate deficiency	1
bacterial infection	1
barcelona test ii	1
basal cell or squamous cell cancer	1
basal cell or squamous cell cancer of the skin	1
basal cell or squamous cell carcinoma of the skin	1
basal cell or squamous cell skin cancer	1
basal or squamous cell carcinoma	1
basal or squamous cell carcinoma in situ of the skin	1
basal or squamous cell skin cancer	1
baseline electroencephalogram	1
baseline eye exam	1
baseline physical examination	1
be venipunctured	1
beck depression inventory	1
behave-ad global rating	1
behave-ad psychosis subscale	1
behave-ad total score	1
behavior disturbances	1
behavior or laboratory abnormality	1
behavioral and psychological symptoms	1
behavioral dysfunction	1
behavioral medications	1
behavioral pathology in alzheimer's disease rating scale score	1
behavioral symptoms	1
behavioural or cognitive symptoms	1
benign lesions	1
benign prostatic hypertrophy	1
benton visual retention	1
benzodiazepine	1
benzodiazepine addiction	1
bepridil	1
beta amyloid imaging scan	1
beta blockers	1
beta secretase cleaving enzyme ( bace ) inhibitors	1
beta-blocker	1
beta2 adrenergic drug	1
binswanger's disease	1
biologic	1
biologic, therapeutic device	1
biomarkers	1
bipolar 1 disorder	1
black-outs	1
bladder outlet obstruction	1
bleeding diathesis	1
bleeding of unclear origin or of blood clotting	1
blind	1
blood analyses	1
blood borne disease	1
blood clotting	1
blood coagulation disorder	1
blood components	1
blood draws	1
blood glucose	1
blood or csf sampling	1
blood samples	1
blood supply	1
blood work screen	1
blood, kidney, glandular, lung, stomach, intestine, heart, blood vessel, liver, psychiatric, nerve or allergic problems	1
blot clots	1
body mass index (bmi)	1
body tattoos	1
bp	1
bp measurements	1
brain abnormalities	1
brain abnormality	1
brain amyloid pathology	1
brain atrophy	1
brain ct	1
brain diseases	1
brain disorders	1
brain dopamine	1
brain herniation	1
brain image	1
brain imaging	1
brain imaging studies	1
brain infarction	1
brain injuries	1
brain lesions	1
brain mri scan	1
brain mri scans	1
brain tumour	1
brain vascular disease	1
brain vascular disturbance	1
brazilian version of the clinical dementia rating	1
brief praxis test	1
broccoli	1
bromide	1
bronchospasm	1
brussel sprouts	1
bun	1
bupropion treatment	1
buschke-fuld	1
buspirone	1
butyrophenones	1
cad	1
caffeine containing beverages	1
calcium channel blocker	1
cancer in treatment	1
