Term	Freq	Standardized	CUI	SemanticType
neuroleptics	15	Neuroleptics	C0040615	[phsu]
pregnancy	15	PREGNANCY	C0032961	[orgf]
psychiatric disorder	15	Psychiatric Disorder	C0004936	[mobd]
rivastigmine	15	RIVASTIGMINE	C0649350	"[orch, phsu]"
aged	14	aged	C1999167	[popg]
angina	14	ANGINA	C0002962	[fndg]
frontotemporal dementia	14	FRONTOTEMPORAL DEMENTIA	C0338451	[dsyn]
pacemakers	14	Pacemakers	C0810633	[medd]
seizures	14	Seizures	C0036572	[sosy]
vital signs	14	Vital signs	C0150404	[hlca]
body mass index	13	BODY MASS INDEX	C1305855	[clna]
congestive heart failure	13	CONGESTIVE HEART FAILURE	C0018802	[dsyn]
diabetes mellitus	13	DIABETES MELLITUS	C0011849	[dsyn]
abnormality	12	Abnormality	C1704258	[fndg]
dementia of the alzheimer's type	12	TYPE	C0332307	[qlco]
liver disease	12	LIVER DISEASE	C0023895	[dsyn]
medical conditions	12	Condition	C1705253	[cnce]
mild cognitive impairment	12	"Cognitive impairment, mild"	C1270972	[mobd]
multi-infarct dementia	12	"Dementia, Multiinfarct"	C0011263	[dsyn]
neurological disease	12	Neurological disease	C0027765	[dsyn]
nincds-adrda	12	unmapped	unmapped	unmapped
progressive supranuclear palsy	12	Progressive Supranuclear Palsy	C0038868	[dsyn]
systemic illness	12	Systemic illness	C0442893	[dsyn]
visual and auditory acuity	12	Auditory acuity	C0679027	[menp]
asthma	11	#NAME?	C0004096	[dsyn]
clinical dementia rating ( cdr )	11	Rating	C0871208	[acty]
drugs	11	Drugs	C0013227	[phsu]
general health	11	General health	C0424575	[fndg]
hypothyroidism	11	HYPOTHYROIDISM	C0020676	[dsyn]
illness	11	Illness	C0221423	[sosy]
lacunes	11	lacunes	C0241970	[acab]
neurologic disease	11	Neurologic Disease	C0027765	[dsyn]
psychiatric disease	11	Psychiatric Disease	C0004936	[mobd]
psychiatric disorders	11	Psychiatric Disorders	C0004936	[mobd]
sedative hypnotics	11	sedative-hypnotics	C0020592	[phsu]
systolic blood pressure	11	systolic blood pressure	C1306620	[diap]
systolic bp	11	systolic bp	C0871470	[clna]
traumatic brain injury	11	Traumatic Brain Injury	C0876926	[inpo]
warfarin	11	WARFARIN	C0043031	"[hops, orch, phsu]"
alzheimer's	10	unmapped	unmapped	unmapped
aspirin	10	ASPIRIN	C0004057	"[orch, phsu]"
cognition	10	Cognition	C0009240	[menp]
diastolic blood pressure	10	diastolic blood pressure	C1305849	[diap]
glaucoma	10	Glaucoma	C0997768	[euka]
hiv	10	HIV+	C0019699	[lbtr]
loss of consciousness	10	consciousness	C0009791	[fndg]
mental retardation	10	MENTAL RETARDATION	C0025362	[mobd]
pacemaker	10	PACEMAKER	C0030163	[medd]
psychiatric illness	10	Psychiatric illness	C0004936	[mobd]
tacrine	10	TACRINE	C0039245	"[orch, phsu]"
alcohol or substance abuse or dependence	9	Dependence	C0439857	[mobd]
alcoholism	9	ALCOHOLISM	C0001973	[mobd]
alzheimer's disease ( ad )	9	Alzheimer's Disease	C1521724	[patf]
aneurysm clips	9	aneurysm clips	C0179977	[medd]
body mass index ( bmi )	9	Body mass index	C0005893	[diap]
clonidine	9	CLONIDINE	C0009014	"[orch, phsu]"
delirium	9	DELIRIUM	C0011206	[mobd]
disorder	9	Disorder	C0012634	[dsyn]
focal lesions	9	lesions	C0221198	[fndg]
infarction	9	Infarction	C0021308	[patf]
investigational drugs	9	Investigational Drugs	C0013230	[phsu]
lactating	9	LACTATING	C2828358	[fndg]
major depressive disorder	9	MAJOR DEPRESSIVE DISORDER	C1269683	[mobd]
medical or psychiatric illness	9	Psychiatric illness	C0004936	[mobd]
psychotropic medication	9	Psychotropic Medication	C0033978	[phsu]
qtc	9	unmapped	unmapped	unmapped
structural brain abnormalities	9	Structural brain abnormalities	C1866933	[fndg]
substance abuse	9	SUBSTANCE ABUSE	C0740858	[mobd]
trauma	9	Trauma	C0043251	[inpo]
vitamin b12 deficiency	9	VITAMIN B12 DEFICIENCY	C0042847	[dsyn]
anti-parkinsonian medications	8	Medications	C2598133	[clna]
antidepressant	8	Antidepressant	C0003289	[phsu]
aricept	8	Aricept	C0527315	"[orch, phsu]"
blood pressure	8	Blood Pressure	C1271104	[fndg]
bmi	8	unmapped	unmapped	unmapped
breastfeeding	8	Breast feeding	C1623040	[fndg]
chronic anxiolytics	8	ANXIOLYTICS	C0040616	[phsu]
creatinine clearance	8	Creatinine clearance	C0812399	[fndg]
diseases	8	Diseases	C0012634	[dsyn]
down syndrome	8	Downs Syndrome	C0013080	"[cgab, dsyn]"
geriatric depression scale	8	Geriatric depression scale	C0451184	[inpr]
hallucinations	8	HALLUCINATIONS	C0018524	[mobd]
hypoxic brain damage	8	Hypoxic Brain Damage	C1140716	[patf]
malignancy	8	Malignancy	C1306459	[neop]
metal implants	8	Implants	C2926601	[clna]
mini-mental state examination ( mmse )	8	Mini-mental state examination	C0451306	[diap]
modified hachinski ischemia score	8	Hachinski ischemia score	C0475492	[inpr]
neurodegenerative disorders	8	Neurodegenerative Disorders	C0524851	[dsyn]
neurological disorder	8	Neurological Disorder	C0027765	[dsyn]
pet	8	Pet	C0031268	[anim]
prostate cancer	8	Prostate Cancer	C0600139	[neop]
renal failure	8	Renal failure	C1963154	[patf]
seizure	8	Seizure	C1959629	[fndg]
vitamin e	8	VITAMIN E	C0042874	"[orch, phsu, vita]"
vitamins	8	VITAMINS	C0042890	"[orch, phsu, vita]"
aggression	7	Aggression	C0001807	[mobd]
aids	7	AIDS	C0001175	[dsyn]
alcohol	7	ALCOHOL	C0001962	"[orch, phsu]"
alcohol or substance abuse	7	SUBSTANCE ABUSE	C0740858	[mobd]
alt	7	ALT	C1266129	[neop]
alzheimer disease	7	Alzheimer's Disease	C1521724	[patf]
anti-convulsants	7	Convulsants	C0009950	"[hops, phsu]"
anxiolytics	7	ANXIOLYTICS	C0040616	[phsu]
ast	7	AST	C3891303	[tmco]
brain surgery	7	brain surgery	C0195775	[topp]
cardiac disease	7	"Disease, Cardiac"	C0018799	[dsyn]
clinical dementia rating	7	Rating	C0871208	[acty]
clinical laboratory tests	7	Tests	C0022885	[lbpr]
delusions	7	DELUSIONS	C0011253	[mobd]
estrogen replacement therapy	7	oestrogen replacement therapy	C0014935	[topp]
hba1c	7	unmapped	unmapped	unmapped
head injury with loss of consciousness	7	consciousness	C0009791	[fndg]
infectious disease	7	Infectious Disease	C0009450	[dsyn]
investigational medications	7	Investigational Medications	C0013230	[phsu]
lithium	7	LITHIUM	C0023870	"[elii, phsu]"
lumbar puncture	7	Lumbar Puncture	C1548878	[hlca]
major depressive episode	7	major depressive episode	C0024517	[mobd]
mini mental state examination ( mmse ) score	7	Mini-mental state examination score	C2960235	[fndg]
mixed dementia	7	Mixed dementia	C3532942	[mobd]
neurodegenerative disease	7	Neuro-degenerative disease	C4020854	[dsyn]
nincds/adrda criteria	7	Criteria	C0243161	[inpr]
pregnancy test	7	Pregnancy Test	C1880076	[lbpr]
psychoactive medication	7	Psychoactive Medication	C0033978	[phsu]
surgery	7	Surgery	C1274039	[bmod]
syncope	7	SYNCOPE	C0039070	[sosy]
systemic corticosteroids	7	Systemic Corticosteroid	C4053960	[topp]
thyroid disease	7	"THYROID DISEASE, NOS"	C0040128	[dsyn]
acetylcholinesterase inhibitors	6	Acetylcholinesterase Inhibitors	C0001046	[phsu]
achei	6	unmapped	unmapped	unmapped
anticholinergic side effects	6	side effects	C0001688	[ftcn]
anticonvulsants	6	ANTICONVULSANTS	C0003286	[phsu]
artificial heart valves	6	artificial heart valves	C0018825	[medd]
basal cell carcinoma	6	Basal cell carcinoma	C1547219	[inpr]
cardiac surgery	6	Cardiac surgery	C0524727	[bmod]
coagulopathy	6	COAGULOPATHY	C0005779	[dsyn]
contraindicated	6	Contraindicated	C1444657	[fndg]
coronary artery disease	6	coronary artery disease	C0010054	[dsyn]
dementia with lewy bodies	6	Lewy Bodies	C0085200	[celc]
dementias	6	Dementias	C0497327	[mobd]
diastolic	6	Diastolic	C0012000	[clna]
diastolic bp	6	diastolic bp	C0428883	[clna]
drug abuse	6	DRUG ABUSE	C0013146	[mobd]
drug or alcohol abuse	6	ALCOHOL ABUSE	C0085762	[mobd]
encephalitis	6	ENCEPHALITIS	C0014038	[dsyn]
evidence	6	Evidence	C3887511	[idcn]
excretion	6	EXCRETION	C2699704	[rnlw]
exelon	6	Exelon	C0730987	"[orch, phsu]"
ftd	6	FTD	C0338451	[dsyn]
head injury	6	HEAD INJURY	C0018674	[inpo]
heart disease	6	"HEART DISEASE, NOS"	C0018799	[dsyn]
"hepatic, renal, pulmonary, metabolic or endocrine disturbances"	6	Endocrine disturbance	C0014130	[dsyn]
hepatitis	6	Hepatitis	C0019159	[dsyn]
hypnotics	6	Hypnotics	C0020591	[phsu]
investigational agent	6	investigational agent	C0013230	[phsu]
laboratory tests	6	Laboratory Tests	C0022885	[lbpr]
magnetic resonance imaging	6	"Imaging, Magnetic Resonance"	C0024485	[diap]
medical illness	6	Illness	C0221423	[sosy]
memory box score	6	SCORE	C0449820	[qnco]
memory complaints	6	complaints	C0277786	[fndg]
memory impairment	6	Memory impairment	C1963167	[patf]
meningitis	6	MENINGITIS	C0025289	[dsyn]
metabolism	6	metabolism	C0025520	[ftcn]
mini-mental state exam ( mmse ) score	6	Exam	C0582103	[hlca]
mini-mental state examination ( mmse ) score	6	Mini-mental state examination score	C2960235	[fndg]
neurodegenerative diseases	6	Neurodegenerative Diseases	C0524851	[dsyn]
neurologic defaults	6	Default	C2828024	[clas]
neurosyphilis	6	NEUROSYPHILIS	C0027927	[dsyn]
osteoporosis	6	OSTEOPOROSIS	C0029456	[dsyn]
permitted medications	6	Medications	C2598133	[clna]
pet scan	6	PET SCAN	C0032743	[diap]
pick's disease	6	PICK DISEASE	C0236642	[dsyn]
reminyl	6	Reminyl	C0939465	"[orch, phsu]"
renal disease	6	"RENAL DISEASE, NOS"	C0022658	[dsyn]
risk	6	Risk	C0035647	[idcn]
sedatives	6	Sedatives	C0036557	[phsu]
surgically sterilized	6	STERILIZE	C0038280	[topp]
venlafaxine	6	VENLAFAXINE	C0078569	"[orch, phsu]"
12 -lead ecg	5	12 lead ECG	C0430456	[diap]
12 -lead electrocardiogram ( ecg )	5	ECG NOS	C1623258	[diap]
adverse reaction	5	ADVERSE REACTION	C0559546	[patf]
alcohol abuse	5	ALCOHOL ABUSE	C0085762	[mobd]
alcohol or drug abuse	5	DRUG ABUSE	C0013146	[mobd]
allergic	5	Allergic	C0700624	[ftcn]
anaemia	5	Anemia	C1000483	[plnt]
arrhythmias	5	Arrhythmias	C0003811	[fndg]
barbiturates	5	BARBITURATES	C0004745	"[orch, phsu]"
bilirubin	5	BILIRUBIN	C0005437	"[bacs, orch]"
brain damage	5	Brain damage	C1456496	[inpo]
brain disease	5	Brain Disease	C0006111	[dsyn]
carbamazepine	5	CARBAMAZEPINE	C0006949	"[orch, phsu]"
causes of dementia	5	dementia	C0011265	[mobd]
cochlear implants	5	Cochlear Implants	C0302559	[topp]
cognitive deficit	5	Cognitive deficit	C0338656	[mobd]
cognitive function	5	"Function, Cognitive"	C0009240	[menp]
cognitively normal	5	NORMAL	C0205307	[qlco]
conditions	5	Condition	C1705253	[cnce]
coumadin	5	Coumadin	C0699129	"[orch, phsu]"
diameter	5	DIAMETER	C1301886	[qnco]
doses	5	Doses	C0178602	[qnco]
dsm iv - tr	5	TR	C3814410	"[aapp, enzy]"
dsm iv criteria	5	Criteria	C0243161	[inpr]
ear implants	5	Implants	C2926601	[clna]
gds	5	GDS	C1149049	[moft]
infarct	5	INFARCT	C0021308	[patf]
insulin	5	INSULIN	C1533581	"[aapp, horm, phsu]"
investigational medication	5	Investigational Medication	C0013230	[phsu]
laboratory abnormality	5	Laboratory abnormality	C4021768	[fndg]
lewy body dementia	5	LEWY BODY DEMENTIA	C0752347	[dsyn]
life expectancy	5	Life Expectancy	C0023671	[grpa]
medical or psychiatric condition	5	Psychiatric condition	C0004936	[mobd]
memory problems	5	memory problems	C0233794	[mobd]
metal fragments	5	fragments	C0332255	[ftcn]
mini-mental state examination score	5	Mini-mental state examination score	C2960235	[fndg]
modified hachinski score	5	SCORE	C0449820	[qnco]
narcotic analgesics	5	Narcotic Analgesics	C0027409	[phsu]
narcotics	5	Narcotics	C0027415	"[hops, phsu]"
neuroimaging	5	Neuroimaging	C0679575	[diap]
psychoactive medications	5	Psychoactive Medications	C0033978	[phsu]
psychotic disorder	5	Psychotic Disorder	C0033975	[mobd]
psychotic features	5	Feature	C2348519	[qlco]
radioactive agents	5	radioactive agent	C0279165	[phsu]
schizoaffective disorder	5	schizo affective disorder	C0036337	[mobd]
serum creatinine	5	serum creatinine	C0600061	[fndg]
suicidal ideation	5	Suicidal Ideation	C0424000	[fndg]
suicide risk	5	Suicide risk	C0563664	[fndg]
tia	5	tia	C1054154	[plnt]
total bilirubin	5	total bilirubin	C0368753	[lbtr]
transient ischemic attack	5	Transient ischemic attack	C0917805	[dsyn]
trazodone	5	TRAZODONE	C0040805	"[orch, phsu]"
tricyclic antidepressants	5	Tricyclic Antidepressants	C0430087	[lbpr]
urinalysis	5	Urinalysis	C0042014	[lbpr]
absorption	4	Absorption	C2347080	[phpr]
acheis	4	unmapped	unmapped	unmapped
amantadine	4	AMANTADINE	C0002403	"[orch, phsu]"
anticoagulants	4	ANTICOAGULANTS	C0003280	[phsu]
antipsychotic	4	Antipsychotic	C0040615	[phsu]
antipsychotic medication	4	Antipsychotic Medication	C0040615	[phsu]
anxiety	4	#NAME?	C0003467	[mobd]
anxiety disorder	4	Anxiety Disorder	C0003469	[mobd]
atrial fibrillation	4	Atrial fibrillation	C1963067	[fndg]
b12	4	B12	C1417635	[gngm]
behavioral disturbances	4	Behavioral disturbances	C0233514	[mobd]
behavioral problems	4	Behavioral problems	C0233514	[mobd]
bipolar affective disorder	4	BIPOLAR AFFECTIVE DISORDER	C0005586	[mobd]
body weight	4	Body Weight	C0005910	[orga]
brain mri	4	Brain MRI	C0881827	[clna]
bupropion	4	BUPROPION	C0085208	"[orch, phsu]"
cardiac pacemaker	4	Cardiac pacemaker	C0037189	[bpoc]
centrally active beta-blockers	4	Beta blockers	C0001645	[phsu]
cervical carcinoma in situ	4	In Situ	C0444498	[spco]
clinical dementia rating scale	4	Clinical dementia rating scale	C0451074	[inpr]
cns disorder	4	CNS DISORDER (NOS)	C0007682	[dsyn]
cognitive deficits	4	Cognitive deficits	C0338656	[mobd]
convulsions	4	CONVULSIONS	C0036572	[sosy]
csf	4	CSF	C3540512	[topp]
demented	4	demented	C0860630	[mobd]
depressive disorder	4	Depressive Disorder	C0011581	[mobd]
dexa measure	4	Measure	C0242485	[ftcn]
dietary supplements	4	Dietary Supplements	C0242295	[food]
dosing	4	unmapped	unmapped	unmapped
drug allergies	4	Drug Allergies	C0013182	[dsyn]
drug allergy	4	Drug allergy	C1548333	[imft]
dsm-iv-tr	4	TR	C3814410	"[aapp, enzy]"
exendin- 4	4	Exendin 4	C0167117	"[aapp, phsu]"
focal brain lesion	4	brain lesion	C0221505	[dsyn]
foreign objects	4	Foreign Objects	C0016542	[inpo]
gingko biloba	4	Ginkgo biloba	C0772125	"[orch, phsu]"
ginkgo biloba	4	Ginkgo biloba	C0772125	"[orch, phsu]"
good health	4	good health	C3813622	[inpr]
hb	4	Hb	C0019046	"[aapp, bacs]"
health	4	Health	C0018684	[idcn]
heart rate	4	Heart Rate	C0018810	[clna]
hepatitis b	4	HEPATITIS B	C0019163	[dsyn]
hepatitis c	4	Hepatitis C	C0019196	[dsyn]
hydrocephalus	4	HYDROCEPHALUS	C0020255	[dsyn]
hypoxia	4	HYPOXIA	C0242184	[patf]
intervention	4	Intervention	C1273869	[hlca]
intolerance	4	INTOLERANCE	C2355652	[orga]
investigational agents	4	INVESTIGATIONAL AGENTS	C1875319	[phsu]
lacunar infarct	4	"Infarct, lacunar"	C0333559	[dsyn]
left bundle branch block	4	Left Bundle Branch Block	C2828132	[idcn]
male	4	Male	C1706180	[qlco]
mania	4	MANIA	C0338831	[mobd]
memory function score	4	SCORE	C0449820	[qnco]
metal	4	Metal	C0025552	[inch]
mild cognitive impairment ( mci )	4	"Cognitive impairment, mild"	C1270972	[mobd]
mood disorder	4	Mood Disorder	C0525045	[mobd]
multiple lacunes	4	lacunes	C0241970	[acab]
namenda	4	Namenda	C1330412	"[orch, phsu]"
neurological disorders	4	"Disorders, Neurological"	C0027765	[dsyn]
non-childbearing potential	4	Childbearing Potential	C3831118	[clna]
parkinson disease	4	PARKINSON DISEASE	C0030567	[dsyn]
presence	4	Presence	C0392148	[topp]
psychotic disorders	4	Psychotic Disorders	C0033975	[mobd]
pulmonary disease	4	PULMONARY DISEASE	C0024115	[dsyn]
selegiline	4	Selegyline	C0036579	"[orch, phsu]"
smoke	4	Smoke	C0439994	[hops]
smoking	4	Smoking	C0453996	[inbe]
syphilis	4	SYPHILIS	C0039128	[dsyn]
systemic disease	4	Systemic Disease	C0442893	[dsyn]
tms	4	unmapped	unmapped	unmapped
total body weight	4	Body Weight	C0005910	[orga]
total radiation dose exposure	4	Exposure	C0332157	[clna]
urine drug screen	4	urine drug screen	C0202274	[lbpr]
vision and hearing	4	Hearing	C0018767	[phsf]
vitamin deficiency	4	vitamin deficiency	C0376286	[dsyn]
wechsler memory scale	4	Wechsler memory scale	C0451575	[inpr]
weight	4	weight	C1305866	[diap]
acetylcholinesterase inhibitor	3	Acetylcholinesterase Inhibitor	C0001046	[phsu]
ad dementia	3	dementia	C0011265	[mobd]
addiction	3	ADDICTION	C0085281	[mobd]
alzheimer s disease	3	Alzheimer's Disease	C1521724	[patf]
alzheimers disease	3	Alzheimer's Disease	C1521724	[patf]
amci	3	unmapped	unmapped	unmapped
amnestic mci	3	mCi	C0560005	[qnco]
antipsychotic treatment	3	Treatment	C0087111	[topp]
apathy	3	APATHY	C0085632	[sosy]
arrhythmia	3	Arrythmia	C0003811	[fndg]
beta-blockers	3	Beta blockers	C0001645	[phsu]
bleeding disorder	3	BLEEDING DISORDER	C1458140	[patf]
brain lesion	3	brain lesion	C0221505	[dsyn]
brain scan	3	Brain scan	C0596217	[diap]
brain trauma	3	"Trauma, Brain"	C0876926	[inpo]
breast cancer	3	#NAME?	C0006142	[neop]
breast-feeding	3	Breast feeding	C1623040	[fndg]
bundle branch block	3	BUNDLE BRANCH BLOCK	C1879286	[dsyn]
cdr score	3	SCORE	C0449820	[qnco]
child-bearing potential	3	Potential	C3245505	[qlco]
cholinergic or anticholinergic side effects	3	side effects	C0001688	[ftcn]
cirrhosis	3	Cirrhosis	C1623038	[dsyn]
citalopram	3	CITALOPRAM	C0008845	"[orch, phsu]"
clinical dementia rating score	3	SCORE	C0449820	[qnco]
cns infection	3	CNS infection	C0007684	[dsyn]
cognex	3	Cognex	C0699954	"[orch, phsu]"
cognitive deterioration	3	Cognitive deterioration	C0854193	[mobd]
cognitive dysfunction	3	Cognitive Dysfunction	C0338656	[mobd]
cognitively	3	unmapped	unmapped	unmapped
computed tomography	3	Computed Tomography	C0040405	[diap]
contra-indication	3	indication	C0392360	[idcn]
contra-indications	3	Indications	C0392360	[idcn]
cortical stroke	3	STROKE	C0038454	[dsyn]
craniotomy	3	CRANIOTOMY	C0010280	[topp]
cromolyn	3	CROMOLYN	C0086073	"[orch, phsu]"
ct scan	3	CT SCAN	C0040405	[diap]
dbp	3	DBP	C0536221	"[aapp, enzy]"
death	3	DEATH	C0011065	[orgf]
decompensated congestive heart failure	3	Decompensated Congestive heart failure	C0581377	[dsyn]
depressive episode	3	Depressive episode	C0349217	[mobd]
distribution	3	Distribution	C1704711	[ftcn]
dosage	3	Dosage	C0178602	[qnco]
drug dependence	3	DRUG DEPENDENCE	C1510472	[mobd]
dsm-iv tr criteria	3	Criteria	C0243161	[inpr]
ecg abnormalities	3	ECG abnormality	C1832603	[fndg]
endocrine disease	3	Endocrine Disease	C0014130	[dsyn]
estrogen	3	Estrogen	C2936882	[phsu]
excipients	3	Excipients	C0015237	[bodm]
expected survival	3	Survival	C0038952	[acty]
fazekas score	3	SCORE	C0449820	[qnco]
female	3	female	C0086287	[popg]
"gastro-intestinal, hepatic or renal disease"	3	"RENAL DISEASE, NOS"	C0022658	[dsyn]
gastrointestinal bleeding	3	gastro intestinal bleeding	C0017181	[patf]
gastrointestinal disorder	3	GASTROINTESTINAL DISORDER	C0017178	[dsyn]
grapefruit	3	grapefruit	C0947567	[plnt]
haematology	3	Hematology	C0200627	[lbpr]
hemorrhage	3	HEMORRHAGE	C0019080	[patf]
hepatic insufficiency	3	Hepatic Insufficiency	C1306571	[patf]
hepatobiliary disease	3	hepatobiliary disease	C0267792	[dsyn]
high blood pressure	3	High blood pressure	C2926615	[clna]
hypodensity	3	unmapped	unmapped	unmapped
ibuprofen	3	IBUPROFEN	C0020740	"[orch, phsu]"
illicit drugs	3	Illicit Drugs	C0086190	"[hops, phsu]"
immunoglobulin treatment	3	Treatment	C0087111	[topp]
impairment	3	Impairment	C0221099	[ftcn]
implantable cardioverter defibrillator	3	Implantable Cardioverter Defibrillator	C0162589	[medd]
implants	3	Implants	C0021102	[medd]
intracranial pressure	3	Intracranial Pressure	C0021880	[ortf]
investigational device	3	Investigational Device	C2346570	[medd]
laboratory	3	LABORATORY	C0022877	"[mnob, orgt]"
liver function tests	3	Liver Function Tests	C0023901	[lbpr]
lorazepam	3	LORAZEPAM	C0024002	"[orch, phsu]"
lumbar puncture ( lp )	3	Lumbar Puncture	C1548878	[hlca]
major surgery	3	major surgery	C0679637	[topp]
malignant disease	3	Malignant disease	C0442867	[dsyn]
mao inhibitors	3	MAO Inhibitors	C0026457	"[orch, phsu]"
medical disease	3	Disease	C0012634	[dsyn]
medications with significant cholinergic or anticholinergic effects	3	Effects	C1280500	[qlco]
memory complaint	3	Complaint	C0277786	[fndg]
menopause	3	Menopause	C0567312	[fndg]
mental illness	3	Mental Illness	C0004936	[mobd]
methylphenidate	3	METHYLPHENIDATE	C0025810	"[orch, phsu]"
mini mental state examination ( mmse )	3	Mini-mental state examination	C0451306	[diap]
mini-mental state exam	3	mental state exam	C0850338	[topp]
mini-mental state examination	3	Mini-mental state examination	C0451306	[diap]
mitral or aortic valvular disease	3	aortic valvular disease	C1260873	[dsyn]
moca score	3	SCORE	C0449820	[qnco]
modified hachinski ischemic score	3	SCORE	C0449820	[qnco]
modified ischemic score	3	SCORE	C0449820	[qnco]
mri scans	3	MRI Scans	C0917711	[qnco]
near syncope	3	NEAR SYNCOPE	C0700200	[sosy]
neoplastic disease	3	Neoplastic Disease	C0027651	[neop]
neurological examination	3	Neurological Examination	C0027853	[diap]
neurological or psychiatric illness	3	Psychiatric illness	C0004936	[mobd]
nincds criteria	3	Criteria	C0243161	[inpr]
nursing	3	NURSING	C0028677	[bmod]
of childbearing potential	3	Childbearing Potential	C3831118	[clna]
opioids	3	Opioids	C0242402	"[hops, orch, phsu]"
osteoporosis/osteopenia	3	osteoporosis osteopenia	C0262586	[dsyn]
paracetamol	3	Paracetamol	C0000970	"[orch, phsu]"
parkinsonism	3	PARKINSONISM	C0242422	[dsyn]
pathology	3	pathology	C0205469	[ftcn]
peptic ulcer	3	PEPTIC ULCER	C0030920	[dsyn]
peptic ulcer disease	3	PEPTIC ULCER DISEASE	C0030920	[dsyn]
percutaneous coronary intervention	3	"Intervention, Percutaneous Coronary"	C1532338	[topp]
periventricular hyperintensities	3	unmapped	unmapped	unmapped
pet scanning	3	Scanning	C0034606	[diap]
platelet count	3	Platelet count	C1287267	[lbtr]
pregnancy testing	3	pregnancy testing	C0032976	[diap]
primary progressive aphasia	3	"APHASIA, PRIMARY PROGRESSIVE"	C0282513	[mobd]
